Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2010-09-15,363.17437744140625,365.00058585676044,356.9018033193438,357.29880198821957,5560394
2010-09-16,355.47247314453125,362.63829135544086,343.20520957607084,360.4746446443867,2334264
2010-09-17,362.77728271484375,364.7424304516141,357.3383975452009,357.3383975452009,3007978
2010-09-20,362.1619873046875,365.9930336399417,359.95864983292176,364.0477307299517,2419108
2010-09-21,378.7167663574219,380.3246056164116,361.38777019831434,362.06267257011206,4997184
2010-09-22,371.29302978515625,381.11874749398555,369.2087866347985,379.5307527127606,4031066
2010-09-23,369.7445373535156,375.2826711858805,368.3351975472886,373.17858401579423,3327236
2010-09-24,369.9829406738281,372.34508776816557,367.2237948823206,370.43947463704717,2738784
2010-09-27,368.25592041015625,373.75436598783483,366.0327377689847,371.19371997180116,3423290
2010-09-28,365.0998229980469,369.3278441379927,362.89646107667903,367.3230057751275,2521714
2010-09-29,365.3776550292969,372.08694112061966,363.214032024976,367.2237082278722,3370194
2010-09-30,367.997802734375,369.20864343926564,363.31322479282454,367.22365073260295,7560924
2010-10-01,381.7538146972656,383.5006180952232,366.0326810391261,368.01767388640985,3326156
2010-10-04,379.45123291015625,387.0736103917368,378.33964174700014,383.7983721499605,2140956
2010-10-05,377.2479248046875,383.48080775602745,375.62024021479556,377.1486751533314,2211664
2010-10-06,380.97979736328125,384.2550365111843,377.14875036459546,377.14875036459546,1838960
2010-10-07,376.6721496582031,383.50052830019723,372.54338004110866,381.1185374411898,1972940
2010-10-08,374.2108154296875,379.0145123191277,344.99173247512005,374.7864681608886,2695996
2010-10-11,373.535888671875,378.71671411657553,368.83144203014916,374.2107667197107,3065370
2010-10-12,377.426513671875,379.4511965166175,372.8213161078172,374.23068029774043,2608902
2010-10-13,394.1601257324219,396.08558384934327,376.791433659265,379.5108891281022,5350604
2010-10-14,391.4604187011719,398.5865475802799,389.99151920754093,395.76786754372307,2949086
2010-10-15,377.2677001953125,401.36551593911645,375.1636128214293,396.60153355408244,5717798
2010-10-18,389.55487060546875,390.6466167396497,369.2086926502787,385.08863642018315,4480734
2010-10-19,384.1952819824219,391.99631186691914,382.74622782690295,389.8525103660432,2200912
2010-10-20,382.4089050292969,389.2571309433954,379.61006971927446,382.90515328394173,2206638
2010-10-21,391.51995849609375,394.55698273816733,385.0885774086622,386.6964166228032,3752354
2010-10-22,412.95794677734375,416.61036317287886,405.73259124938187,405.73259124938187,9610404
2010-10-25,423.5775146484375,425.9595055610377,411.7668097067949,414.0694203070001,5156316
2010-10-26,421.8506164550781,423.89516851958666,413.49382670998057,422.2079248144045,3507024
2010-10-27,416.13397216796875,423.5181859448861,414.2879671854895,420.8185756972228,2141382
2010-10-28,417.9997863769531,423.81582487396344,412.8784953480766,416.8484808802697,5255690
2010-10-29,417.9997863769531,420.8184664124627,409.3055083691029,420.8184664124627,2212398
2010-11-01,418.9942626953125,424.16506703250514,417.28390030065026,418.4573042633994,1147948
2010-11-02,417.4230651855469,421.6193908081033,415.135978867484,419.63062009674434,1565778
2010-11-03,418.7554626464844,429.17659882187314,417.00533520184996,417.9997202778969,2217878
2010-11-04,425.2588806152344,429.0176381005766,422.21605150358903,422.41492858861193,1717440
2010-11-08,424.8610534667969,430.5290494163574,422.45462172978245,429.57442986142735,2248586
2010-11-09,433.989501953125,437.01242349395415,425.00026873146106,427.1481506473553,3504086
2010-11-10,434.46685791015625,440.71157836247653,432.00075315877774,434.446950781963,1540224
2010-11-11,423.5086669921875,433.5519577567357,420.9232654092345,433.5519577567357,1926096
2010-11-12,419.9886474609375,425.5572059688473,416.9259111492009,421.6194298846014,1802330
2010-11-15,424.0058898925781,429.51477471744295,418.83508635730277,423.60813577448,1389396
2010-11-16,417.2042236328125,424.1649193556034,414.53924242371073,424.0058080282904,2178076
2010-11-18,414.778076171875,426.392478745977,413.6643450520672,426.392478745977,2765160
2010-11-19,403.8796081542969,417.244139026229,400.1407091138097,415.6133565825846,2172652
2010-11-22,413.3063049316406,414.8575557425267,402.32830070332284,404.118194280352,2221236
2010-11-23,409.7066345214844,415.65303895868414,402.6862648703838,411.2777438117506,1684448
2010-11-24,399.6433410644531,411.4765228476504,397.33637266463717,407.69785975721766,3008608
2010-11-25,406.4251708984375,414.42004359014487,400.5781802497527,401.75155980516337,5855006
2010-11-26,416.54803466796875,419.23287518743285,407.698004807513,407.698004807513,3617826
2010-11-29,426.1139221191406,428.97773178317453,417.7411801625211,419.6305118509496,4518892
2010-11-30,427.98345947265625,431.9809080463831,418.8748798530106,421.8182702330409,4808408
2010-12-01,430.3302307128906,434.82482353939673,423.21042161588866,423.21042161588866,3776032
2010-12-02,435.85888671875,437.2112115813781,427.6054905730882,433.94964794780856,4095716
2010-12-03,436.4754638671875,442.7003254133076,434.0094078012974,434.7651503227697,2030112
2010-12-06,438.2055969238281,441.5069748056703,435.6600099663139,437.52943449210574,1930954
2010-12-07,432.5575866699219,437.5295129534842,430.4097048046294,437.5295129534842,2158324
2010-12-08,429.23638916015625,434.7253671504169,426.09412174871784,433.92985887177286,1984132
2010-12-09,426.6310119628906,436.45556676685226,424.84111862191395,431.04607249317354,2579902
2010-12-10,427.5459289550781,431.1058090378493,420.4261202355642,424.40366158121765,2245624
2010-12-13,428.02313232421875,429.8527912811719,417.00536433350936,425.99459633816275,2115066
2010-12-14,429.95233154296875,433.3929146714455,423.27009091615537,426.8697368623865,2615340
2010-12-15,438.9813232421875,440.87065522177716,430.1710601949917,431.6029652476767,2572034
2010-12-16,453.718017578125,455.0306253420419,439.18013643405743,441.1092338324515,4515704
2010-12-20,464.0596923828125,468.15657906383666,443.43615186042,451.3713753448172,4514046
2010-12-21,461.713134765625,466.26740132842946,459.0083865498039,464.97470006648246,2810642
2010-12-22,457.3177185058594,464.9744839602954,452.5446699108863,464.1789758611332,3186836
2010-12-23,453.4395446777344,461.21565453655234,450.2972784731243,457.41708454332854,2850924
2010-12-24,453.87738037109375,456.94011733244986,447.7718621371387,451.0533348110285,1624640
2010-12-27,453.91693115234375,461.1759430240351,452.7236689268602,455.42841605954186,1664936
2010-12-28,455.9655456542969,457.77534679779956,453.4597231717345,453.9171016868334,1012876
2010-12-29,460.1814880371094,462.1901652335886,456.2437621334483,457.01936304078595,1042370
2010-12-30,465.45196533203125,467.281673573496,458.411735112418,458.411735112418,3845552
2010-12-31,463.6421813964844,469.34994431356984,462.1108374754095,466.366787887848,1532980
2011-01-03,460.61920166015625,468.1367160696955,459.22706216891237,464.1790817947482,1405042
2011-01-04,455.3289794921875,463.84092644790974,452.6839051702367,462.94597977496153,2502868
2011-01-05,460.97705078125,463.741470644815,454.13570033572364,455.52783955286844,3069674
2011-01-06,466.0486145019531,470.1455025156883,458.6503954929598,464.5769432642334,2846720
2011-01-07,454.49383544921875,472.0745512463193,452.7039415921121,467.7589279905356,2532724
2011-01-10,449.8201904296875,457.01953103369664,445.88241452460744,456.4228997921383,3952426
2011-01-11,436.93292236328125,451.6697326574778,432.67697249102656,446.6778987837641,3768730
2011-01-12,451.8287048339844,458.05356558100175,440.71149828352554,441.4672407079811,3160874
2011-01-13,447.1750183105469,459.7838030521316,443.9730785888501,449.0444430393366,5589198
2011-01-14,445.5442810058594,457.4172316112354,445.48460817789885,449.4223836216937,3151692
2011-01-17,452.405517578125,456.04497725989256,445.4845866110528,445.96187210369226,3000212
2011-01-18,478.3189697265625,480.8446972694737,463.12474168217625,466.963076510792,8481370
2011-01-19,474.5207824707031,480.88484996402354,471.3387487240429,478.6772946306853,2952040
2011-01-20,482.1575012207031,484.7628100006525,469.34983860576,469.34983860576,4545208
2011-01-21,481.9388732910156,485.26011106166663,478.8960440313497,481.2825691677186,2597404
2011-01-24,480.9643859863281,485.26015100699937,476.6089966755221,477.30506656426167,2016678
2011-01-25,472.75067138671875,484.9816103862794,469.3498542920826,483.19171687414854,2467094
2011-01-27,477.87030029296875,482.07364910504464,470.7783255509463,473.14898023589876,4714118
2011-01-28,470.6788330078125,479.5437792564714,464.26420747189985,476.11733784932017,3014578
2011-01-31,461.9733581542969,465.75839213658736,449.6421353189518,465.75839213658736,5940816
2011-02-01,458.248046875,464.16464224425545,451.41505550449904,464.16464224425545,4212708
2011-02-02,471.1171569824219,477.6712709475258,463.1088321107618,466.1567900807608,3937618
2011-02-03,471.6148986816406,476.3959910341214,466.4154899297897,472.0133230443474,1883412
2011-02-04,457.7100830078125,471.37601411522763,454.30353409372253,468.54720990503637,3457600
2011-02-07,450.6780090332031,467.5512816033573,448.8253248625326,467.5512816033573,2578382
2011-02-08,448.2674255371094,458.14837325963384,445.63783338644276,451.0165645001817,5288638
2011-02-09,437.5898132324219,450.06047561539606,431.77277442468403,447.2316703231445,6012732
2011-02-10,434.5816650390625,444.04424999865705,427.1112032288563,438.2670928654309,4551822
2011-02-11,434.1234436035156,439.94043315923403,420.6965537542043,431.93210825722457,2945056
2011-02-14,443.1675109863281,446.2353596294629,433.0873534975234,434.68105121048575,2462548
2011-02-15,437.3505859375,445.8370478577477,428.923946059558,445.8370478577477,3625426
2011-02-16,436.8725891113281,442.1317745601199,430.6970075963025,440.2591983292454,2464592
2011-02-17,441.9324951171875,444.02422402225466,435.2389918024586,440.2591314474577,1477760
2011-02-18,434.16302490234375,451.1757750107043,431.13500935914203,442.35066531795974,4076928
2011-02-21,453.64630126953125,457.3915027439018,421.6129493641354,434.2828728143318,5657800
2011-02-22,453.7060241699219,457.2719049714203,446.2355627401207,447.29139768269596,3305400
2011-02-23,448.44659423828125,456.1759885407983,447.47042529560537,449.48248793117415,1879344
2011-02-24,442.96844482421875,453.7059672512749,434.80074135229677,445.8370821990574,5378830
2011-02-25,442.2710876464844,445.04011816643265,433.5854150354703,440.37857147702107,3070474
2011-02-28,442.3509216308594,457.4910567553563,438.26706939333064,438.7451594692513,3229396
2011-03-01,448.0284423828125,451.0166267473044,437.31081140167237,443.44655969059164,3167804
2011-03-03,458.2677307128906,460.1801873092718,441.0558158886267,446.1955004350834,3452600
2011-03-04,452.430908203125,463.50707884306934,451.21569416408147,463.50707884306934,2061198
2011-03-07,441.5539855957031,448.2275964765766,436.055707624601,447.82917194637514,4184588
2011-03-08,445.319091796875,449.7416431282544,440.318892968874,440.318892968874,3947902
2011-03-09,448.9048767089844,453.4070931337911,445.6378151758746,447.2514538983791,2424486
2011-03-10,441.6734619140625,447.03225153563795,438.26691327023326,447.03225153563795,1871324
2011-03-11,429.1231994628906,439.2232525120313,423.6448616650931,438.2670238237989,5012882
2011-03-14,437.2908935546875,439.06386338535873,421.6925623651509,426.71270207415535,3248618
2011-03-15,434.2030334472656,436.45409293196195,424.5810721804377,428.30633147588134,3411868
2011-03-16,444.1837463378906,447.6101888708139,434.74110084290754,435.07975209493725,2677874
2011-03-17,437.4701232910156,445.7972054924775,435.33856183456385,440.2590949331259,2056102
2011-03-18,431.39422607421875,441.8528715920652,428.74469281586806,435.6772904291463,2211348
2011-03-21,426.6329650878906,434.8803326102366,424.91972031957613,434.8803326102366,2619090
2011-03-22,426.1150207519531,430.29847817869035,423.52526139254434,428.3461883190519,2657774
2011-03-23,424.0631408691406,426.71267373386524,421.2343364193548,426.71267373386524,4352248
2011-03-24,435.6372985839844,436.49392086925803,426.3141568289764,426.712581274611,3094834
2011-03-25,446.0960693359375,449.6221169727174,439.7611090905067,444.9804611111005,4146434
2011-03-28,446.19573974609375,448.9049979689506,441.45447706132217,447.76949753399794,2248642
2011-03-29,453.6858825683594,458.9451142673558,445.89671408184364,446.23536512285824,3159588
2011-03-30,458.9652404785156,463.7662768017969,456.15637597319255,457.39148261895434,2294770
2011-03-31,471.69476318359375,477.3125387624015,458.98501223229266,458.98501223229266,7394126
2011-04-01,470.2008361816406,477.6115245623896,467.1728187249261,472.13318590734656,1799624
2011-04-04,483.3686218261719,484.48422996792084,471.734644968765,472.1330694999886,2311616
2011-04-05,493.9867248535156,495.62025596740665,479.603606687496,484.10582406960486,2891014
2011-04-06,486.8152160644531,496.81566643252796,483.74736529036403,493.6482094821915,2422352
2011-04-07,477.79058837890625,486.07783652146014,476.1769985129162,486.07783652146014,2149016
2011-04-08,476.51556396484375,483.6872028873916,472.0332896382514,476.87415563812897,1983768
2011-04-11,469.50335693359375,476.11719272886086,468.26825093066105,470.2005996844519,2256232
2011-04-13,482.1335144042969,486.6357310511537,467.8699454005846,468.14882311748073,3757530
2011-04-15,474.68316650390625,486.038269717048,470.14111549148464,484.84299569461206,7566770
